[Lab2] Flow matching on symmetric GMM ...

  0%|          | 0/5000 [00:00<?, ?it/s]
loss: 103.8338:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 21.3909:   5%|¨„         | 267/5000 [00:05<01:23, 56.87it/s]
loss: 24.5905:   5%|¨„         | 267/5000 [00:05<01:23, 56.87it/s]
loss: 23.7553:   5%|¨„         | 267/5000 [00:05<01:23, 56.87it/s]
loss: 23.0520:   5%|¨„         | 267/5000 [00:05<01:23, 56.87it/s]
loss: 25.2644:   5%|¨„         | 267/5000 [00:05<01:23, 56.87it/s]
loss: 21.6184:   5%|¨„         | 267/5000 [00:05<01:23, 56.87it/s]
loss: 26.2265:   5%|¨„         | 267/5000 [00:05<01:23, 56.87it/s]
loss: 26.2265:   5%|¨„         | 274/5000 [00:05<01:20, 58.55it/s]
loss: 25.3965:   5%|¨„         | 274/5000 [00:05<01:20, 58.55it/s]
loss: 25.6311:   5%|¨„         | 274/5000 [00:05<01:20, 58.55it/s]
loss: 24.5213:   5%|¨„         | 274/5000 [00:05<01:20, 58.55it/s]
loss: 68.5516:   5%|¨„         | 274/5000 [00:05<01:20, 58.55it/s]
loss: 22.4824:   5%|¨„         | 274/5000 [00:05<01:20, 58.55it/s]
loss: 24.9243:   5%|¨„         | 274/5000 [00:05<01:20, 58.55it/s]
loss: 22.4189:   5%|¨„         | 274/5000 [00:05<01:20, 58.55it/s]
